VALUE,LABEL,INACTIVE
EUR,EUR
AFN,AFN,1
AFA,AFA,1
ALL,ALL,1
ALK,ALK,1
DZD,DZD,1
ADP,ADP,1
AOA,AOA,1
AOK,AOK,1
AON,AON,1
AOR,AOR,1
ARA,ARA,1
ARS,ARS,1
ARM,ARM,1
ARP,ARP,1
ARL,ARL,1
AMD,AMD,1
AWG,AWG,1
AUD,AUD,1
ATS,ATS,1
AZN,AZN,1
AZM,AZM,1
BSD,BSD,1
BHD,BHD,1
BDT,BDT,1
BBD,BBD,1
BYB,BYB,1
BYR,BYR,1
BEF,BEF,1
BEC,BEC,1
BEL,BEL,1
BZD,BZD,1
BMD,BMD,1
BTN,BTN,1
BOB,BOB,1
BOL,BOL,1
BOV,BOV,1
BOP,BOP,1
BAM,BAM,1
BAD,BAD,1
BAN,BAN,1
BWP,BWP,1
BRC,BRC,1
BRZ,BRZ,1
BRE,BRE,1
BRR,BRR,1
BRN,BRN,1
BRB,BRB,1
BRL,BRL,1
GBP,GBP
BND,BND,1
BGL,BGL,1
BGN,BGN,1
BGO,BGO,1
BGM,BGM,1
BUK,BUK,1
BIF,BIF,1
KHR,KHR,1
CAD,CAD,1
CVE,CVE,1
KYD,KYD,1
XOF,XOF,1
XAF,XAF,1
XPF,XPF,1
CLE,CLE,1
CLP,CLP,1
CLF,CLF,1
CNX,CNX,1
CNY,CNY,1
COP,COP,1
COU,COU,1
KMF,KMF,1
CDF,CDF,1
CRC,CRC,1
HRD,HRD,1
HRK,HRK,1
CUC,CUC,1
CUP,CUP,1
CYP,CYP,1
CZK,CZK,1
CSK,CSK,1
DKK,DKK,1
DJF,DJF,1
DOP,DOP,1
NLG,NLG,1
XCD,XCD,1
DDM,DDM,1
ECS,ECS,1
ECV,ECV,1
EGP,EGP,1
GQE,GQE,1
ERN,ERN,1
EEK,EEK,1
ETB,ETB,1
XEU,XEU,1
FKP,FKP,1
FJD,FJD,1
FIM,FIM,1
FRF,FRF,1
XFO,XFO,1
XFU,XFU,1
GMD,GMD,1
GEK,GEK,1
GEL,GEL,1
DEM,DEM,1
GHS,GHS,1
GHC,GHC,1
GIP,GIP,1
GRD,GRD,1
GTQ,GTQ,1
GWP,GWP,1
GNF,GNF,1
GNS,GNS,1
GYD,GYD,1
HTG,HTG,1
HNL,HNL,1
HKD,HKD,1
HUF,HUF,1
ISK,ISK,1
ISJ,ISJ,1
INR,INR,1
IDR,IDR,1
IRR,IRR,1
IQD,IQD,1
IEP,IEP,1
ILS,ILS,1
ILP,ILP,1
ILR,ILR,1
ITL,ITL,1
JMD,JMD,1
JPY,JPY,1
JOD,JOD,1
KZT,KZT,1
KES,KES,1
KWD,KWD,1
KGS,KGS,1
LAK,LAK,1
LVL,LVL,1
LVR,LVR,1
LBP,LBP,1
LSL,LSL,1
LRD,LRD,1
LYD,LYD,1
LTL,LTL,1
LTT,LTT,1
LUL,LUL,1
LUC,LUC,1
LUF,LUF,1
MOP,MOP,1
MKD,MKD,1
MKN,MKN,1
MGA,MGA,1
MGF,MGF,1
MWK,MWK,1
MYR,MYR,1
MVR,MVR,1
MVP,MVP,1
MLF,MLF,1
MTL,MTL,1
MTP,MTP,1
MRO,MRO,1
MUR,MUR,1
MXV,MXV,1
MXN,MXN,1
MXP,MXP,1
MDC,MDC,1
MDL,MDL,1
MCF,MCF,1
MNT,MNT,1
MAD,MAD,1
MAF,MAF,1
MZE,MZE,1
MZN,MZN,1
MZM,MZM,1
MMK,MMK,1
NAD,NAD,1
NPR,NPR,1
ANG,ANG,1
TWD,TWD,1
NZD,NZD,1
NIO,NIO,1
NIC,NIC,1
NGN,NGN,1
KPW,KPW,1
NOK,NOK,1
OMR,OMR,1
PKR,PKR,1
PAB,PAB,1
PGK,PGK,1
PYG,PYG,1
PEI,PEI,1
PEN,PEN,1
PES,PES,1
PHP,PHP,1
PLN,PLN,1
PLZ,PLZ,1
PTE,PTE,1
GWE,GWE,1
QAR,QAR,1
RHD,RHD,1
XRE,XRE,1
RON,RON,1
ROL,ROL,1
RUB,RUB,1
RUR,RUR,1
RWF,RWF,1
SVC,SVC,1
WST,WST,1
STD,STD,1
SAR,SAR,1
RSD,RSD,1
CSD,CSD,1
SCR,SCR,1
SLL,SLL,1
SGD,SGD,1
SKK,SKK,1
SIT,SIT,1
SBD,SBD,1
SOS,SOS,1
ZAR,ZAR,1
ZAL,ZAL,1
KRH,KRH,1
KRW,KRW,1
KRO,KRO,1
SSP,SSP,1
SUR,SUR,1
ESP,ESP,1
ESA,ESA,1
ESB,ESB,1
LKR,LKR,1
SHP,SHP,1
SDD,SDD,1
SDG,SDG,1
SDP,SDP,1
SRD,SRD,1
SRG,SRG,1
SZL,SZL,1
SEK,SEK,1
CHF,CHF,1
SYP,SYP,1
TJR,TJR,1
TJS,TJS,1
TZS,TZS,1
THB,THB,1
TPE,TPE,1
TOP,TOP,1
TTD,TTD,1
TND,TND,1
TRY,TRY,1
TRL,TRL,1
TMT,TMT,1
TMM,TMM,1
UGX,UGX,1
UGS,UGS,1
UAH,UAH,1
UAK,UAK,1
AED,AED,1
UYU,UYU,1
UYP,UYP,1
UYI,UYI,1
USD,USD
USN,USN,1
USS,USS,1
UZS,UZS,1
VUV,VUV,1
VEF,VEF,1
VEB,VEB,1
VND,VND,1
VNN,VNN,1
CHE,CHE,1
CHW,CHW,1
YDD,YDD,1
YER,YER,1
YUN,YUN,1
YUD,YUD,1
YUM,YUM,1
YUR,YUR,1
ZRN,ZRN,1
ZRZ,ZRZ,1
ZMW,ZMW,1
ZMK,ZMK,1
ZWD,ZWD,1
ZWR,ZWR,1
ZWL,ZWL,1
